Company,Parent,Volume,Date
BAC,Origin,133737500,7/11/2008
BAC,Origin,102861100,7/14/2008
BAC,Origin,186221000,7/15/2008
BAC,Origin,191122800,7/16/2008
BAC,Origin,189147600,7/17/2008
BAC,Origin,157811600,7/18/2008
BAC,Origin,163781600,7/21/2008
BAC,Origin,139814700,7/22/2008
BAC,Origin,159601900,7/23/2008
BAC,Origin,120641100,7/24/2008
BAC,Origin,89735800,7/25/2008
BAC,Origin,73281800,7/28/2008
BAC,Origin,109271100,7/29/2008
BAC,Origin,119467100,7/30/2008
BAC,Origin,66288700,7/31/2008
BAC,Origin,58692700,8/1/2008
BAC,Origin,59095000,8/4/2008
BAC,Origin,74277800,8/5/2008
BAC,Origin,55622800,8/6/2008
BAC,Origin,77877400,8/7/2008
BAC,Origin,61163900,8/8/2008
BAC,Origin,63158700,8/11/2008
BAC,Origin,59264100,8/12/2008
BAC,Origin,98225700,8/13/2008
BAC,Origin,64682500,8/14/2008
BAC,Origin,55464900,8/15/2008
BAC,Origin,59555500,8/18/2008
BAC,Origin,71296800,8/19/2008
BAC,Origin,63148100,8/20/2008
BAC,Origin,49905900,8/21/2008
BAC,Origin,55439800,8/22/2008
BAC,Origin,41479400,8/25/2008
BAC,Origin,43496300,8/26/2008
BAC,Origin,39123300,8/27/2008
BAC,Origin,64508600,8/28/2008
BAC,Origin,40830800,8/29/2008
BAC,Origin,70626400,9/2/2008
BAC,Origin,71778400,9/3/2008
BAC,Origin,70001300,9/4/2008
BAC,Origin,85388200,9/5/2008
BAC,Origin,164205500,9/8/2008
BAC,Origin,107012300,9/9/2008
BAC,Origin,88138200,9/10/2008
BAC,Origin,93465600,9/11/2008
BAC,Origin,79018300,9/12/2008
BAC,Origin,275947400,9/15/2008
BAC,Origin,174575700,9/16/2008
BAC,Origin,174479800,9/17/2008
BAC,Origin,225157700,9/18/2008
BAC,Origin,169634200,9/19/2008
BAC,Origin,64641500,9/22/2008
BAC,Origin,54546200,9/23/2008
BAC,Origin,46292200,9/24/2008
BAC,Origin,60479300,9/25/2008
BAC,Origin,71964400,9/26/2008
BAC,Origin,102415400,9/29/2008
BAC,Origin,79197200,9/30/2008
BAC,Origin,77465900,10/1/2008
BAC,Origin,60475000,10/2/2008
BAC,Origin,71040700,10/3/2008
BAC,Origin,82372200,10/6/2008
BAC,Origin,143285000,10/7/2008
BAC,Origin,322727700,10/8/2008
BAC,Origin,197845600,10/9/2008
BAC,Origin,212897700,10/10/2008
BAC,Origin,169776400,10/13/2008
BAC,Origin,213923300,10/14/2008
BAC,Origin,118298900,10/15/2008
BAC,Origin,132357000,10/16/2008
BAC,Origin,113718000,10/17/2008
BAC,Origin,84862900,10/20/2008
BAC,Origin,75498200,10/21/2008
BAC,Origin,99175000,10/22/2008
BAC,Origin,97334900,10/23/2008
BAC,Origin,106422900,10/24/2008
BAC,Origin,73489800,10/27/2008
BAC,Origin,110456600,10/28/2008
BAC,Origin,110623200,10/29/2008
BAC,Origin,77086600,10/30/2008
BAC,Origin,134621200,10/31/2008
BAC,Origin,59182300,11/3/2008
BAC,Origin,89542600,11/4/2008
BAC,Origin,88416800,11/5/2008
BAC,Origin,118548800,11/6/2008
BAC,Origin,82003200,11/7/2008
BAC,Origin,79599800,11/10/2008
BAC,Origin,103837200,11/11/2008
BAC,Origin,101948600,11/12/2008
BAC,Origin,197772100,11/13/2008
BAC,Origin,124550600,11/14/2008
BAC,Origin,130129600,11/17/2008
BAC,Origin,149127600,11/18/2008
BAC,Origin,173059700,11/19/2008
BAC,Origin,196136500,11/20/2008
BAC,Origin,229691500,11/21/2008
BAC,Origin,197880500,11/24/2008
BAC,Origin,145943000,11/25/2008
BAC,Origin,118890800,11/26/2008
BAC,Origin,52660100,11/28/2008
